received_date,animal_type,kind,sex,province,shelter,latitude,longitude
2025-05-15,고양이,한국 고양이,암컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-15,고양이,한국 고양이,암컷,광주광역시 남구,광주동물보호센터,35.1327,126.9025
2025-05-15,고양이,한국 고양이,수컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-15,고양이,한국 고양이,수컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-15,고양이,한국 고양이,수컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-15,고양이,한국 고양이,수컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-15,고양이,한국 고양이,암컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-15,고양이,한국 고양이,수컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-15,고양이,한국 고양이,암컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-15,개,믹스견,수컷,경상북도 문경시,종합축산,36.5858541,128.1870612
2025-05-15,개,믹스견,암컷,경기도 화성시,화성동물보호센터,37.1994653,126.8312632
2025-05-15,개,믹스견,암컷,경기도 화성시,화성동물보호센터,37.1994653,126.8312632
2025-05-15,개,믹스견,수컷,경기도 화성시,화성동물보호센터,37.1994653,126.8312632
2025-05-15,개,믹스견,수컷,경기도 화성시,화성동물보호센터,37.1994653,126.8312632
2025-05-15,개,믹스견,수컷,경기도 화성시,화성동물보호센터,37.1994653,126.8312632
2025-05-15,개,푸들,수컷,경기도 화성시,화성동물보호센터,37.1994653,126.8312632
2025-05-15,개,말티즈,수컷,경기도 시흥시,시흥동물누리보호센터,37.3798891,126.8032255
2025-05-15,고양이,한국 고양이,수컷,광주광역시 남구,광주동물보호센터,35.1327,126.9025
2025-05-15,고양이,한국 고양이,수컷,광주광역시 북구,광주동물보호센터,35.1741,126.9122
2025-05-15,개,믹스견,수컷,경상북도 문경시,종합축산,36.5858541,128.1870612
2025-05-14,고양이,한국 고양이,수컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-14,고양이,한국 고양이,수컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-14,고양이,한국 고양이,수컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-14,고양이,한국 고양이,암컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-13,고양이,한국 고양이,수컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-13,고양이,한국 고양이,수컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-13,고양이,한국 고양이,수컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-13,고양이,한국 고양이,암컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-13,개,믹스견,암컷,전북특별자치도 정읍시,정읍시 동물보호소,35.5697678,126.8559787
2025-05-13,개,믹스견,암컷,전북특별자치도 정읍시,정읍시 동물보호소,35.5697678,126.8559787
2025-05-13,개,믹스견,수컷,전북특별자치도 정읍시,정읍시 동물보호소,35.5697678,126.8559787
2025-05-13,개,믹스견,수컷,전북특별자치도 정읍시,정읍시 동물보호소,35.5697678,126.8559787
2025-05-13,개,믹스견,수컷,전북특별자치도 정읍시,정읍시 동물보호소,35.5697678,126.8559787
2025-05-13,고양이,한국 고양이,암컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-13,고양이,한국 고양이,암컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-13,고양이,한국 고양이,암컷,광주광역시 동구,광주동물보호센터,35.1462,126.9229
2025-05-12,개,말티즈,수컷,강원특별자치도 춘천시,춘천시 동물보호센터,37.8810569,127.7297641
2025-05-12,개,믹스견,암컷,충청남도 서산시,서산시 동물보호센터,36.784499,126.450317
2025-05-12,개,믹스견,암컷,경상북도 상주시,상주시 동물보호센터,36.4104478,128.1590614
2025-05-12,개,믹스견,수컷,경상북도 상주시,상주시 동물보호센터,36.4104478,128.1590614
2025-05-11,개,믹스견,수컷,대전광역시 서구,대전동물보호센터,36.3551786,127.3838487
2025-05-11,고양이,한국 고양이,수컷,광주광역시 남구,광주동물보호센터,35.1327,126.9025
2025-05-11,고양이,한국 고양이,암컷,광주광역시 남구,광주동물보호센터,35.1327,126.9025
2025-05-11,고양이,한국 고양이,암컷,광주광역시 남구,광주동물보호센터,35.1327,126.9025
2025-05-11,고양이,한국 고양이,암컷,광주광역시 남구,광주동물보호센터,35.1327,126.9025
2025-05-11,기타,토끼,암컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-11,고양이,믹스묘,수컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-11,개,믹스견,암컷,경상북도 경산시,경산시유기동물보호소,35.825122,128.741329
2025-05-10,고양이,한국 고양이,수컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-10,고양이,한국 고양이,수컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-10,고양이,한국 고양이,암컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-09,개,믹스견,암컷,제주특별자치도 제주특별자치도,제주 동물보호센터,33.4887737,126.4987083
2025-05-09,개,믹스견,수컷,제주특별자치도 제주특별자치도,제주 동물보호센터,33.4887737,126.4987083
2025-05-09,개,믹스견,암컷,제주특별자치도 제주특별자치도,제주 동물보호센터,33.4887737,126.4987083
2025-05-09,고양이,한국 고양이,수컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-09,개,믹스견,암컷,경기도 남양주시,남양주시동물보호센터,37.6359398,127.2165051
2025-05-09,개,믹스견,수컷,경기도 남양주시,남양주시동물보호센터,37.6359398,127.2165051
2025-05-09,개,믹스견,수컷,경기도 남양주시,남양주시동물보호센터,37.6359398,127.2165051
2025-05-09,고양이,한국 고양이,암컷,광주광역시 서구,광주동물보호센터,35.1521401,126.8900561
2025-05-08,개,믹스견,암컷,대전광역시 서구,대전동물보호센터,36.3551786,127.3838487
2025-05-08,개,믹스견,암컷,대전광역시 서구,대전동물보호센터,36.3551786,127.3838487
2025-05-08,개,믹스견,수컷,대전광역시 서구,대전동물보호센터,36.3551786,127.3838487
2025-05-08,개,믹스견,암컷,대전광역시 서구,대전동물보호센터,36.3551786,127.3838487
2025-05-08,고양이,한국 고양이,암컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-08,고양이,한국 고양이,암컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-08,고양이,한국 고양이,암컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-08,고양이,한국 고양이,암컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-08,고양이,한국 고양이,암컷,광주광역시 광산구,광주동물보호센터,35.1396428,126.7938232
2025-05-08,개,진도견,암컷,충청남도 예산군,예산임시동물보호센터,36.6808989,126.8448742
2025-05-08,고양이,믹스묘,수컷,강원특별자치도 정선군,정선가축병원,37.380456,128.6609485
2025-05-08,고양이,믹스묘,수컷,강원특별자치도 정선군,정선가축병원,37.380456,128.6609485
2025-05-08,고양이,믹스묘,암컷,강원특별자치도 정선군,정선가축병원,37.380456,128.6609485
2025-05-08,고양이,믹스묘,수컷,강원특별자치도 정선군,정선가축병원,37.380456,128.6609485
2025-05-08,고양이,믹스묘,수컷,강원특별자치도 정선군,정선가축병원,37.380456,128.6609485
2025-05-08,고양이,믹스묘,수컷,강원특별자치도 정선군,정선가축병원,37.380456,128.6609485
2025-05-08,고양이,벵갈,암컷,경기도 화성시,화성동물보호센터,37.1994653,126.8312632
2025-05-07,개,믹스견,수컷,경상북도 영주시,영주시 동물보호센터,36.805685,128.624054
2025-05-07,고양이,한국 고양이,수컷,전북특별자치도 진안군,진안군유기동물보호소,35.7915,127.4252
2025-05-07,개,믹스견,암컷,충청남도 서산시,서산시 동물보호센터,36.784499,126.450317
2025-05-07,개,믹스견,암컷,충청남도 서산시,서산시 동물보호센터,36.784499,126.450317
2025-05-07,개,믹스견,암컷,충청남도 서산시,서산시 동물보호센터,36.784499,126.450317
2025-05-07,개,믹스견,수컷,충청남도 서산시,서산시 동물보호센터,36.784499,126.450317
2025-05-07,개,믹스견,암컷,전라남도 담양군,담양군 동물보호센터,35.320878,126.9883238
2025-05-07,개,믹스견,수컷,전라남도 담양군,담양군 동물보호센터,35.320878,126.9883238
2025-05-07,개,믹스견,수컷,경상남도 통영시,통영시동물보호센터,34.854254,128.433205
