turf,center_name
대구광역시 수성구,(사)대구수의사회
경상남도 김해시,(사)동물보호관리협회
부산광역시 동래구,(사)동부동물보호협회
부산광역시 남구,(사)동부동물보호협회
부산광역시 수영구,(사)동부동물보호협회
경상북도 포항시,(사)영일동물플러스
부산광역시 사하구,(사)하얀비둘기
부산광역시 강서구,(사)하얀비둘기
부산광역시 사상구,(사)하얀비둘기
대구광역시 달성군,119동물병원
전북특별자치도 전주시,21세기동물병원
서울특별시 성동구,24시센트럴동물메디컬
경기도 부천시,24시아이동물메디컬
서울특별시 강동구,GD동물병원
울산광역시 울주군,MK동물병원
경기도 부천시,가나동물병원
충청북도 증평군,가정견훈련소
인천광역시 서구,가정동물병원
경기도 가평군,가평군유기동물보호소
울산광역시 남구,강남동물병원
서울특별시 강동구,강동구청 반려동물팀 
서울특별시 강동구,강동리본센터(reborn)
강원특별자치도 강릉시,강릉시 동물사랑센터
전라남도 강진군,강진군 유기견 보호소
서울특별시 양천구,강현림동물병원
경상남도 거제시,거제시유기동물보호소
인천광역시 중구,경동동물병원
인천광역시 동구,경동동물병원
인천광역시 연수구,경동동물병원
경상북도 경산시,경산시유기동물보호소
경상북도 경주시,경주동물사랑보호센터
경상북도 고령군,고령군 유기견 보호소
경상남도 고성군,고성군유기동물보호소
경기도 고양시,고양시동물보호센터
경상남도 통영시,고양이보호분양센터
전라남도 고흥군,고흥군임시보호센터
전라남도 곡성군,곡성군동물보호소
충청남도 공주시,공주시 동물보호센터
경기도 광명시,광명반함센터
전라남도 광양시,광양시 임시보호소
경기도 광주시,광주TNR동물병원송정
경기도 광주시,광주TNR동물병원초월
광주광역시 동구,광주동물보호센터
광주광역시 서구,광주동물보호센터
광주광역시 남구,광주동물보호센터
광주광역시 북구,광주동물보호센터
광주광역시 광산구,광주동물보호센터
광주광역시,광주동물보호센터
광주광역시 북구,광주첨단YB동물병원
충청북도 괴산군,괴산증평동물보호센터
전라남도 구례군,구례군동물보호센터
경기도 구리시,구리반려동물문화센터
경상북도 구미시,구미시 동물보호센터
전북특별자치도 군산시,군산유기동물보호센터
대구광역시 군위군,군위종합동물병원
대구광역시 수성구,금강동물병원
충청북도 음성군,금왕동물병원
충청남도 홍성군,금일동물보호센터
경상북도 김천시,김천시 동물보호센터
전라남도 나주시,나주유기동물보호센터
충청남도 부여군,남부여동물보호소
서울특별시 용산구,남산동물병원
경기도 남양주시,남양주시동물보호센터
경상남도 남해군,남해군동물보호센터
서울특별시 서대문구,내품애센터
서울특별시 노원구,노원반려동물문화센터
충청남도 논산시,논산시 동물보호센터
인천광역시 부평구,늘푸른동물병원
광주광역시 북구,다나동물병원
강원특별자치도 정선군,다나동물병원
충청북도 단양군,단양군동물보호센터
전라남도 담양군,담양군 동물보호센터
대구광역시 달성군,대구수의사회(달성군)
대구광역시 서구,대구수의사회(아이펫)
대구광역시 서구,대구시수의사회(더펫)
대구광역시 중구,대구시수의사회(동산)
대구광역시 중구,대구시수의사회(동인)
대구광역시 서구,대구시수의사회(보경)
대구광역시 중구,대구시수의사회(삼덕)
대구광역시 서구,대구시수의사회(삼성)
대구광역시 서구,대구시수의사회(평리)
대구광역시 동구,대구유기동물보호센터
대구광역시 남구,대구유기동물보호협회
대구광역시 북구,대구유기동물보호협회
대구광역시 달서구,대구유기동물보호협회
대전광역시 동구,대전동물보호센터
대전광역시 중구,대전동물보호센터
대전광역시 서구,대전동물보호센터
대전광역시 유성구,대전동물보호센터
대전광역시 대덕구,대전동물보호센터
전라남도 순천시,대한동물사랑협회
전북특별자치도 고창군,더나은동물병원
전북특별자치도 전주시,데이지동물병원
부산광역시 동구,동구종합동물병원
서울특별시 동대문구,동대문구청
부산광역시 부산진구,동물보호관리협회
전북특별자치도 전주시,동부동물병원
부산광역시 금정구,동부동물보호협회
대구광역시 달성군,동인동물병원
강원특별자치도 동해시,동해시동물보호센터
대구광역시 달성군,동행동물병원
광주광역시 동구,두손너에게
서울특별시 강동구,둔촌동물병원
인천광역시 강화군,디디동물병원
서울특별시 관악구,디아크 동물종합병원
서울특별시 동작구,디아크동물종합병원
울산광역시 남구,리틀쥬동물의료원
전북특별자치도 전주시,링크늘푸른동물병원
경상남도 창원시 마산합포회원구,마산유기동물보호소
서울특별시 마포구,마포구청
대구광역시 수성구,멘토동물병원
전라남도 목포시,목포시유기동물보호소
전라남도 무안군,무안군유기동물보호소
전북특별자치도 무주군,무주군
경상남도 밀양시,밀양시 동물보호센터
전북특별자치도 전주시,박영재동물병원
서울특별시 마포구,박창석동물병원
경상북도 구미시,반려동물 입양센터
충청북도 청주시,반려동물보호센터
충청남도 보령시,보령길고양이보호협회
충청남도 보령시,보령시유기동물보호소
전라남도 보성군,보성유기동물보호센터
경상북도 봉화군,봉화군유기동물보호소
부산광역시 중구,부산동물보호센터
부산광역시 영도구,부산동물보호센터
부산광역시 북구,부산동물보호센터
전북특별자치도 부안군,부안군 동물보호센터
경기도 부천시,부천시수의사회
부산광역시 기장군,사단법인 동부
울산광역시 남구,사랑동물병원
전북특별자치도 전주시,사랑플러스동물병원
경상남도 사천시,사천시 동물보호센터
경상남도 산청군,산청동물보호센터
울산광역시 중구,산타클라라동물병원
울산광역시 남구,산타클라라동물병원
울산광역시 동구,산타클라라동물병원
울산광역시 북구,산타클라라동물병원
인천광역시 부평구,삼산종합동물병원
강원특별자치도 삼척시,삼척시동물보호센터
경상북도 상주시,상주시 동물보호센터
충청남도 서산시,서산시 동물보호센터
서울특별시 은평구,서울동물복지지원센터
충청남도 서천군,서천군유기동물보호소
서울특별시 서초구,서초동물사랑센터
서울특별시 성동구,성동구청
경상북도 성주군,성주유기동물보호센터
대구광역시 수성구,세인트동물병원
세종특별자치시,세종유기동물보호센터
세종특별자치시,세종종합동물병원
강원특별자치도 속초시,속초시유기동물보호소
경기도 수원시,수원시 동물보호센터
전북특별자치도 순창군,순창유기동물보호소
전라남도 순천시,순천시유기동물보호소
울산광역시 남구,스마일동물병원
경기도 시흥시,시흥동물누리보호센터
인천광역시 중구,신공항동물병원
대구광역시 수성구,신세계동물병원
광주광역시 동구,신세계동물병원
전라남도 신안군,신안군유기동물보호소
인천광역시 계양구,신영재동물병원
충청남도 아산시,아산동물복지지원센터
서울특별시 성동구,아지동물병원
경기도 안성시,안성시 동물보호센터
경기도 안성시,안성시농업기술센터
강원특별자치도 양구군,양구군유기동물보호소
경상남도 양산시,양산시 동물보호센터
강원특별자치도 양양군,양양군유기동물보호소
경기도 양평군,양평군유기동물보호소
서울특별시 용산구,열린동물병원
전라남도 영광군,영광동물보호센터
경상북도 영덕군,영덕반려동물입양센터
경상북도 영덕군,영덕유기동물보호센터
경상북도 영양군,영양군유기동물보호소
강원특별자치도 영월군,영월군 동물보호센터
경상북도 영주시,영주시 동물보호센터
경상북도 영천시,영천유기동물보호센터
충청남도 예산군,예산임시동물보호센터
경상북도 예천군,예천군유기동물보호소
서울특별시 성동구,오렌지동물병원
경기도 오산시,오산 유기동물보호소
충청북도 옥천군,옥천동물병원
울산광역시 울주군,와우동물병원
전북특별자치도 완주군,완주군유기동물보호소
경기도 용인시,용인시 동물보호센터
인천광역시 서구,우리동물병원
